Code,Question Name,Question Weight,Answer,Answer Weight,Scoring Type,Metric Domain,Ordinal,All Vendors,Question Description,Branching Logic,Category Name,Internal,Upload Answers,Allows Text For Answers,Tech Vendor,System Vendor,Service Vendor,Allows Comment To Answers,Use Color Coding
COML:038,"Is the cybersecurity strategy incorporated into, or conceptually fits within, the institution's enterprise-wide risk management strategy?",3,No,10,Organization,FFIEC CAT Cyber Org Maturity Level,38,NO,,,Cyber Risk Management and Oversight / Governance / Strategies & Policies,NO,NO,NO,NO,NO,NO,YES,YES
,,,N/A,5,,,,,,,,,,,,,,,
,,,Yes,0,,,,,,,,,,,,,,,
COML:039,Does management link strategic cybersecurity objectives to tactical goals?,3,No,10,Organization,FFIEC CAT Cyber Org Maturity Level,39,NO,,,Cyber Risk Management and Oversight / Governance / Strategies & Policies,NO,NO,NO,NO,NO,NO,YES,YES
,,,N/A,5,,,,,,,,,,,,,,,
,,,Yes,0,,,,,,,,,,,,,,,
COML:040,Is a formal process in place to cross-reference and simultaneously update all policies related to cyber risks across business lines?,3,No,10,Organization,FFIEC CAT Cyber Org Maturity Level,40,NO,,,Cyber Risk Management and Oversight / Governance / Strategies & Policies,NO,NO,NO,NO,NO,NO,YES,YES
,,,N/A,5,,,,,,,,,,,,,,,
,,,Yes,0,,,,,,,,,,,,,,,
COML:041,Does the cybersecurity strategy outline the institution's future state of cybersecurity with short-term and long-term perspectives?,4,No,10,Organization,FFIEC CAT Cyber Org Maturity Level,41,NO,,,Cyber Risk Management and Oversight / Governance / Strategies & Policies,NO,NO,NO,NO,NO,NO,YES,YES
,,,N/A,5,,,,,,,,,,,,,,,
,,,Yes,0,,,,,,,,,,,,,,,
COML:042,Are industry-recognized cybersecurity standards used as sources during the analysis of cybersecurity program gaps?,4,No,10,Organization,FFIEC CAT Cyber Org Maturity Level,42,NO,,,Cyber Risk Management and Oversight / Governance / Strategies & Policies,NO,NO,NO,NO,NO,NO,YES,YES
,,,N/A,5,,,,,,,,,,,,,,,
,,,Yes,0,,,,,,,,,,,,,,,
COML:043,Does the cybersecurity strategy identify and communicate the institution's role as a component of critical infrastructure?,4,No,10,Organization,FFIEC CAT Cyber Org Maturity Level,43,NO,,,Cyber Risk Management and Oversight / Governance / Strategies & Policies,NO,NO,NO,NO,NO,NO,YES,YES
,,,N/A,5,,,,,,,,,,,,,,,
,,,Yes,0,,,,,,,,,,,,,,,
