Constant,Scope,Value,Default Value
ORGANIZATION_CONTROL_TEST_RESULTS$AUDIT_RESULT,UI,"Аудит результата контрольного теста","Audit control test result"
ORGANIZATION_CONTROL_TEST_RESULTS$AUDITORS_COMMENTS,UI,"Комментарии аудиторов","Auditors comments"
ORGANIZATION_CONTROL_TEST_RESULTS$CONTROL_TEST_RESULT,UI,Результат контрольного теста,Control test result
ORGANIZATION_CONTROL_TEST_RESULTS$EDIT_RESULT,UI,Редактировать результат контрольного теста,Edit control test result
ORGANIZATION_CONTROL_TEST_RESULTS$EVIDENCE_IS_NOT_SUFFICIENT,UI,"Доказательств не достаточно","Evidence is not sufficient"
ORGANIZATION_CONTROL_TEST_RESULTS$EVIDENCE_IS_SUFFICIENT,UI,"Доказательств достаточно","Evidence is sufficient"
ORGANIZATION_CONTROL_TEST_RESULTS$TITLE,UI,Результаты контрольных тестов организации,Organization control test results
ORGANIZATION$COUNTRY,UI,Страна,Country
ORGANIZATION$CURRENCY,UI,Валюта,Currency
ORGANIZATION$DESCRIPTION,UI,Описание,Description
ORGANIZATION$LANGUAGE,UI,Язык,Language
ORGANIZATION$MARKET_CAPITALIZATION,UI,Рыночная капитализация,Market capitalization
ORGANIZATION$NAME,UI,Название,Name
ORGANIZATION$PHONE_NUMBER,UI,Телефон,Phone number
ORGANIZATION$PUBLIC_COMPANY,UI,Публичная компания,Public company
ORGANIZATION_RISK_SCORING$TITLE,UI,Скоринг рисков организации,Organization risk scoring
ORGANIZATION$RISK_THRESHOLD,UI,Порог риска,Risk threshold
ORGANIZATION$SITE,UI,Адрес сайта,Website URL
ORGANIZATION$STATE,UI,Область,State
ORGANIZATION$SUPPORTED_LANGUAGES,UI,Поддерживаемые языки,Supported languages
ORGANIZATION$TAX_ID,UI,ИНН,TAX ID
ORGANIZATION$TITLE,UI,Организация,Organization
ORGANIZATION$VAT,UI,Номер НДС,VAT number
ORGANIZATION$ZIP,UI,ZIP или почтовый индекс,ZIP or Postal Code
PAGINATION$CURRENT_PAGE,UI,Текущая страница,Current page
PAGINATION$FIRST_PAGE,UI,Первая страница,First page
