Constant,Scope,Value,Default Value
DASHBOARDS$ASSESSMENT_FINDING$MAIN_SECTION$ASSESSMENT_FINDINGS_TABLE$LINKED_ENTITIES_HEADER,DASHBOARD,Control Framework or Control Test,Control Framework or Control Test
DASHBOARDS$ASSESSMENT_FINDING$MAIN_SECTION$ASSESSMENT_FINDINGS_TABLE$LINK_TYPE_HEADER,DASHBOARD,Finding Type,Finding Type
DASHBOARDS$ASSESSMENT_FINDING$MAIN_SECTION$ASSESSMENT_FINDINGS_TABLE$MATURITY_HEADER,DASHBOARD,Control Maturity,Control Maturity
DASHBOARDS$ASSESSMENT_FINDING$MAIN_SECTION$ASSESSMENT_FINDINGS_TABLE$NAME_HEADER,DASHBOARD,Assessment Finding,Assessment Finding
DASHBOARDS$ASSESSMENT_FINDING$MAIN_SECTION$ASSESSMENT_FINDINGS_TABLE$TECH_CATEGORY_HEADER,DASHBOARD,Technology Category,Technology Category
DASHBOARDS$ASSESSMENT_FINDING$MAIN_SECTION$ASSESSMENT_FINDINGS_TABLE$TECHNOLOGY_HEADER,DASHBOARD,Technology,Technology
DASHBOARDS$ASSESSMENT_FINDING$MAIN_SECTION$ITEM_DESCRIPTION,DASHBOARD,,
DASHBOARDS$ASSESSMENT_FINDING$MAIN_SECTION$ITEM_NAME,DASHBOARD,,
DASHBOARDS$ASSESSMENT_FINDING$NAME,DASHBOARD,Assessment Findings,Assessment Findings
DASHBOARDS$ASSESSMENT$NAME,DASHBOARD,Assessments,Assessments
DASHBOARDS$ASSIGNMENTS_STATUS$DESCRIPTION,DASHBOARD,Displays the status of the system scoring assigments,Displays the status of the system scoring assigments
DASHBOARDS$ASSIGNMENTS_STATUS$NAME,DASHBOARD,Vendor View - Cyber Risk Scoring to be Completed,Vendor View - Cyber Risk Scoring to be Completed
DASHBOARDS$ASSIGNMENTS_STATUS$PEOPLE_ASSIGNMENTS$ITEM_DESCRIPTION,DASHBOARD,Assignments By People,Assignments By People
DASHBOARDS$ASSIGNMENTS_STATUS$PEOPLE_ASSIGNMENTS$ITEM_NAME,DASHBOARD,Assignments By People,Assignments By People
DASHBOARDS$ASSIGNMENTS_STATUS$PEOPLE_ASSIGNMENTS$PEOPLE_ASSIGNMENTS$ASSIGNMENT_TYPE_HEADER,DASHBOARD,Assignment Type,Assignment Type
DASHBOARDS$ASSIGNMENTS_STATUS$PEOPLE_ASSIGNMENTS$PEOPLE_ASSIGNMENTS$BUSINESS_INTERRUPTION_HEADER,DASHBOARD,Business Interruption Question,Business Interruption Question
DASHBOARDS$ASSIGNMENTS_STATUS$PEOPLE_ASSIGNMENTS$PEOPLE_ASSIGNMENTS$BUSINESS_UNIT_HEADER,DASHBOARD,Business Unit,Business Unit
DASHBOARDS$ASSIGNMENTS_STATUS$PEOPLE_ASSIGNMENTS$PEOPLE_ASSIGNMENTS$DATA_EXFILTRATION_HEADER,DASHBOARD,Data Exfiltration Question,Data Exfiltration Question
DASHBOARDS$ASSIGNMENTS_STATUS$PEOPLE_ASSIGNMENTS$PEOPLE_ASSIGNMENTS$IMPACT_HEADER,DASHBOARD,Impact,Impact
DASHBOARDS$ASSIGNMENTS_STATUS$PEOPLE_ASSIGNMENTS$PEOPLE_ASSIGNMENTS$ITEM_NAME,DASHBOARD,Assignments By People,Assignments By People
DASHBOARDS$ASSIGNMENTS_STATUS$PEOPLE_ASSIGNMENTS$PEOPLE_ASSIGNMENTS$LIKELIHOOD_HEADER,DASHBOARD,Likelihood,Likelihood
DASHBOARDS$ASSIGNMENTS_STATUS$PEOPLE_ASSIGNMENTS$PEOPLE_ASSIGNMENTS$PERSON_HEADER,DASHBOARD,Person,Person
DASHBOARDS$ASSIGNMENTS_STATUS$PEOPLE_ASSIGNMENTS$PEOPLE_ASSIGNMENTS$SYSTEM_NAME_HEADER,DASHBOARD,System Name,System Name
DASHBOARDS$ASSIGNMENTS_STATUS$PEOPLE_ASSIGNMENTS$PEOPLE_ASSIGNMENTS$SYSTEM_QUESTIONNAIRE_HEADER,DASHBOARD,System Questionnaire Status,System Questionnaire Status
DASHBOARDS$ASSIGNMENTS_STATUS$SYSTEM_ASSIGNMENTS$ITEM_DESCRIPTION,DASHBOARD,Assignments By Systems,Assignments By Systems
DASHBOARDS$ASSIGNMENTS_STATUS$SYSTEM_ASSIGNMENTS$ITEM_NAME,DASHBOARD,Assignments By System,Assignments By System
DASHBOARDS$ASSIGNMENTS_STATUS$SYSTEM_ASSIGNMENTS$SYSTEM_ASSIGNMENTS$ASSIGNMENTS_HEADER,DASHBOARD,Assignments,Assignments
DASHBOARDS$ASSIGNMENTS_STATUS$SYSTEM_ASSIGNMENTS$SYSTEM_ASSIGNMENTS$BUSINESS_INTERRUPTION_HEADER,DASHBOARD,Business Interruption Question,Business Interruption Question
DASHBOARDS$ASSIGNMENTS_STATUS$SYSTEM_ASSIGNMENTS$SYSTEM_ASSIGNMENTS$BUSINESS_UNIT_HEADER,DASHBOARD,Business Unit,Business Unit
DASHBOARDS$ASSIGNMENTS_STATUS$SYSTEM_ASSIGNMENTS$SYSTEM_ASSIGNMENTS$DATA_EXFILTRATION_HEADER,DASHBOARD,Data Exfiltration Question,Data Exfiltration Question
DASHBOARDS$ASSIGNMENTS_STATUS$SYSTEM_ASSIGNMENTS$SYSTEM_ASSIGNMENTS$IMPACT_HEADER,DASHBOARD,Impact,Impact
DASHBOARDS$ASSIGNMENTS_STATUS$SYSTEM_ASSIGNMENTS$SYSTEM_ASSIGNMENTS$ITEM_NAME,DASHBOARD,Assignments By Systems,Assignments By Systems
DASHBOARDS$ASSIGNMENTS_STATUS$SYSTEM_ASSIGNMENTS$SYSTEM_ASSIGNMENTS$LIKELIHOOD_HEADER,DASHBOARD,Likelihood,Likelihood
DASHBOARDS$ASSIGNMENTS_STATUS$SYSTEM_ASSIGNMENTS$SYSTEM_ASSIGNMENTS$SYSTEM_NAME_HEADER,DASHBOARD,System Name,System Name
DASHBOARDS$ASSIGNMENTS_STATUS$SYSTEM_ASSIGNMENTS$SYSTEM_ASSIGNMENTS$SYSTEM_QUESTIONNAIRE_HEADER,DASHBOARD,System Questionnaire Status,System Questionnaire Status
DASHBOARDS$ASSIGNMENTS_STATUS$SYSTEM_ASSIGNMENTS$SYSTEM_ASSIGNMENTS$TYPE_HEADER,DASHBOARD,Type,Type
DASHBOARDS$AUDIT$AUDIT,DASHBOARD,Audit,Audit
DASHBOARDS$AUDIT_DASHBOARD,DASHBOARD,Audit Dashboard,Audit Dashboard
DASHBOARDS$BOARD_ANALYTICS,DASHBOARD,Board Analytics,Board Analytics
DASHBOARDS$BUDGETING$CYBERSECURITY$BUDGET$FIXED_CAPITAL_COSTS_HEADER,DASHBOARD,Fixed Capital Costs,Fixed Capital Costs
DASHBOARDS$BUDGETING$CYBERSECURITY$BUDGET$FIXED_OPERATIONAL_COSTS_HEADER,DASHBOARD,Fixed Operational Costs,Fixed Operational Costs
DASHBOARDS$BUDGETING$CYBERSECURITY$BUDGET$ITEM_NAME,DASHBOARD,Cybersecurity Budget,Cybersecurity Budget
DASHBOARDS$BUDGETING$CYBERSECURITY$BUDGET$TOTAL_OPTIMAL_BUDGET_HEADER,DASHBOARD,Total Optimal Budget,Total Optimal Budget
DASHBOARDS$BUDGETING$CYBERSECURITY$BUDGET$VARIABLE_OPERATIONAL_COSTS_HEADER,DASHBOARD,Variable Operational Costs,Variable Operational Costs
DASHBOARDS$BUDGETING$CYBERSECURITY$ITEM_DESCRIPTION,DASHBOARD,Cybersecurity Budgeting,Cybersecurity Budgeting
DASHBOARDS$BUDGETING$CYBERSECURITY$ITEM_NAME,DASHBOARD,Cybersecurity,Cybersecurity
DASHBOARDS$BUDGETING$DESCRIPTION,DASHBOARD,Displays fixed and variable operational and captial costs,Displays fixed and variable operational and captial costs
DASHBOARDS$BUDGETING$NAME,DASHBOARD,Budgeting,Budgeting
DASHBOARDS$BUDGETING$SUMMARY$ITEM_DESCRIPTION,DASHBOARD,Summary Scores,Summary Scores
DASHBOARDS$BUDGETING$SUMMARY$ITEM_NAME,DASHBOARD,Summary,Summary
DASHBOARDS$BUDGETING$SUMMARY$SCORES_GRID$ACTUAL_COST_HEADER,DASHBOARD,Actual Cost,Actual Cost
DASHBOARDS$BUDGETING$SUMMARY$SCORES_GRID$ACTUAL_END_DATE_HEADER,DASHBOARD,Actual End Date,Actual End Date
DASHBOARDS$BUDGETING$SUMMARY$SCORES_GRID$ACTUAL_HOURS_HEADER,DASHBOARD,Actual Hours,Actual Hours
DASHBOARDS$BUDGETING$SUMMARY$SCORES_GRID$BUDGET_MANAGER_HEADER,DASHBOARD,Budget Manager,Budget Manager
DASHBOARDS$BUDGETING$SUMMARY$SCORES_GRID$COMMENTS_HEADER,DASHBOARD,Comments,Comments
DASHBOARDS$BUDGETING$SUMMARY$SCORES_GRID$CONSULTANT_NAME_HEADER,DASHBOARD,Consultant Name,Consultant Name
DASHBOARDS$BUDGETING$SUMMARY$SCORES_GRID$EMPLOYEE_NAME_HEADER,DASHBOARD,Employee Name,Employee Name
DASHBOARDS$BUDGETING$SUMMARY$SCORES_GRID$EST_COST_HEADER,DASHBOARD,Est Cost,Est Cost
DASHBOARDS$BUDGETING$SUMMARY$SCORES_GRID$EST_HEADER,DASHBOARD,Est,Est
DASHBOARDS$BUDGETING$SUMMARY$SCORES_GRID$EST_HOURS_HEADER,DASHBOARD,Est Hours,Est Hours
